accident_index,latitude,longitude,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,road_type,speed_limit,junction_detail,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,first_road_class,police_force
DEMO100000,52.6529441604021,-1.8613442905753383,2,2,2,15/08/2025,5,12:43,3,60.0,8,6,2.0,1.0,1,3,1
DEMO100001,56.085475439488306,-3.2777537153928127,2,2,3,30/10/2025,4,10:52,3,40.0,1,4,1.0,2.0,1,5,5
DEMO100002,53.100369382352966,-1.0403790814503622,2,3,4,22/08/2025,5,01:08,12,30.0,3,1,1.0,6.0,1,4,42
DEMO100003,53.58820406372743,-3.3564930120307963,3,2,3,05/08/2025,2,02:14,2,50.0,0,1,9.0,1.0,1,4,7
DEMO100004,53.71595979025626,-3.3640256329498883,3,1,2,20/06/2025,5,14:02,2,70.0,3,1,1.0,3.0,1,1,29
DEMO100005,51.70031129131907,-3.0637336082793545,3,1,1,31/03/2025,1,13:29,3,30.0,8,1,1.0,2.0,1,5,13
DEMO100006,52.2647301822139,-1.9070442209534642,3,6,9,13/04/2025,7,13:29,3,20.0,9,1,1.0,3.0,2,4,8
DEMO100007,55.668804486285616,-4.325534342477436,3,3,3,30/09/2025,2,03:01,7,30.0,6,6,7.0,1.0,2,6,35
DEMO100008,53.49449806361517,-2.681614351654517,3,3,4,26/01/2025,7,12:39,3,40.0,2,1,5.0,1.0,1,5,3
DEMO100009,52.59159056707429,-2.1011860635339525,3,3,3,31/01/2025,5,01:00,9,30.0,8,6,2.0,1.0,1,4,35
DEMO100010,53.111565496693835,-0.8033865468115935,3,2,2,25/05/2025,7,03:47,9,40.0,7,7,8.0,2.0,1,6,18
DEMO100011,54.45475969026038,-5.616314499015036,3,4,4,10/10/2025,5,11:42,6,30.0,6,1,1.0,3.0,2,2,16
DEMO100012,55.850810729490675,-4.06205230103925,2,2,3,28/08/2025,4,14:48,9,70.0,6,7,7.0,1.0,1,2,15
DEMO100013,55.80602086197386,-3.384174258847558,3,2,3,04/08/2025,1,15:07,2,30.0,6,1,1.0,1.0,1,2,19
DEMO100014,55.68298806477643,-4.331748142485018,2,2,2,14/07/2025,1,23:52,7,60.0,2,5,1.0,1.0,2,2,32
DEMO100015,56.026446517572566,-3.2848875555641444,2,4,5,10/02/2025,1,20:32,7,70.0,6,7,1.0,1.0,1,2,13
DEMO100016,52.9415839666756,-1.3205435477281213,3,1,2,02/05/2025,5,09:51,3,40.0,0,6,9.0,3.0,2,5,30
DEMO100017,52.568178886193124,-2.0209951644111186,3,3,4,30/01/2025,4,18:41,1,30.0,7,1,7.0,1.0,1,1,22
DEMO100018,51.378694460565676,-3.2033181569206324,1,3,6,04/10/2025,6,02:39,6,60.0,6,1,3.0,,1,4,12
DEMO100019,53.528941176690886,-3.345761043745804,3,7,7,02/10/2025,4,20:01,6,30.0,3,1,1.0,1.0,1,6,2
DEMO100020,52.75184433664231,-0.8747032310769219,2,3,4,05/04/2025,6,09:41,7,40.0,2,7,1.0,3.0,2,4,21
DEMO100021,51.37252359455816,-2.6204275176554277,3,1,1,17/04/2025,4,18:26,3,20.0,7,1,,2.0,1,1,16
DEMO100022,53.2815908382923,-2.3631222126622777,3,2,2,26/04/2025,6,23:50,3,30.0,6,1,1.0,1.0,1,6,21
DEMO100023,54.64851325300758,-6.308416404536125,3,3,5,21/11/2025,5,16:41,12,40.0,1,1,1.0,1.0,2,1,39
DEMO100024,56.27954950281195,-3.0004354788139613,3,1,3,28/06/2025,6,22:04,2,50.0,3,1,3.0,2.0,1,3,18
DEMO100025,53.44745919243306,-1.7202010166908481,2,2,3,06/10/2025,1,00:53,12,70.0,0,1,3.0,4.0,1,1,17
DEMO100026,51.43619377260942,-2.472233463867598,3,2,4,13/06/2025,5,04:03,9,40.0,3,1,7.0,1.0,1,2,32
DEMO100027,55.91775665547981,-3.3997106556956918,3,2,2,12/09/2025,5,15:17,7,30.0,7,4,2.0,1.0,1,3,19
DEMO100028,52.85039574430177,-1.1307216694190225,3,2,5,12/07/2025,6,12:13,3,40.0,3,1,1.0,1.0,1,3,38
DEMO100029,53.60733102792173,-3.2993749130511754,2,4,7,12/04/2025,6,02:58,9,20.0,2,1,2.0,1.0,2,6,28
DEMO100030,53.4825471038831,-3.032466296275654,3,1,2,16/11/2025,7,17:09,12,30.0,2,1,1.0,1.0,1,3,6
DEMO100031,53.179565174092744,-2.2612432676439598,2,2,2,16/09/2025,2,01:50,9,30.0,3,1,3.0,5.0,1,1,39
DEMO100032,52.68209325449192,-1.851612491291095,3,2,2,08/10/2025,3,23:13,7,20.0,0,6,5.0,1.0,1,1,14
DEMO100033,52.798099608634026,-0.9460780687746608,3,3,3,13/12/2025,6,03:39,6,20.0,9,1,1.0,3.0,1,6,41
DEMO100034,51.363531609200926,-3.055143421192356,3,3,3,01/04/2025,2,10:05,2,20.0,7,1,1.0,1.0,1,4,13
DEMO100035,51.57981212271137,0.24732415641215946,3,3,3,03/02/2025,1,19:23,12,30.0,7,1,6.0,1.0,1,6,12
DEMO100036,51.37391640578988,-3.522410884907646,2,1,1,01/08/2025,5,12:37,1,60.0,1,1,2.0,1.0,2,2,7
DEMO100037,56.35700855557893,-2.686381451441804,3,3,3,30/04/2025,3,17:42,6,30.0,9,6,2.0,1.0,2,3,4
DEMO100038,53.757866870194796,-1.3234527097004714,3,4,4,09/06/2025,1,16:52,3,60.0,7,6,4.0,3.0,1,2,36
DEMO100039,53.495068174549814,-1.5762740988501718,2,2,4,27/03/2025,4,22:48,9,60.0,3,1,2.0,1.0,1,5,34
DEMO100040,52.2081915334552,-1.6530330196684269,3,3,4,26/05/2025,1,11:31,9,60.0,8,1,1.0,1.0,1,3,36
DEMO100041,55.84236926797638,-2.7643395017490273,2,3,5,24/05/2025,6,23:18,7,30.0,2,1,5.0,,1,1,16
DEMO100042,55.84063591750595,-3.984777354933359,3,3,3,08/05/2025,4,12:15,2,30.0,9,5,7.0,1.0,1,4,17
DEMO100043,51.63392744513249,-2.8248801622536295,3,4,5,28/09/2025,7,21:59,3,30.0,1,1,1.0,1.0,2,5,5
DEMO100044,,-0.11795265758795791,2,1,3,05/08/2025,2,17:36,2,30.0,8,7,1.0,3.0,1,5,20
DEMO100045,54.81319700911698,-5.7489527249118355,3,2,2,23/06/2025,1,03:54,12,20.0,9,1,4.0,1.0,1,6,38
DEMO100046,,-2.99916133081322,3,4,5,11/02/2025,2,15:26,2,30.0,6,7,3.0,1.0,1,1,17
DEMO100047,51.54054032629356,-3.073533206731163,2,1,2,28/07/2025,1,21:29,12,40.0,9,1,1.0,1.0,1,1,34
DEMO100048,55.73003890686275,-4.129464007969017,3,5,5,05/03/2025,3,03:49,2,,0,1,2.0,1.0,1,5,1
DEMO100049,55.77956863204606,-3.425082949509204,3,1,1,25/04/2025,5,20:43,9,30.0,7,1,4.0,1.0,1,4,4
